All Data,,,,https://docs.google.com/spreadsheets/d/1h0duUBjW9TodESqnlJPdLuK9jl0RrSVYBI7R_S05M0M/edit#gid=2025921830,Filtered Data,,Full Data,,,First 2 Lines,,,First 3 Lines,,,First 4 Lines,
Weekday,Formation,Region,Patpm,,,,Weekday,Count,,Weekday,Count,,Weekday,Count,,Weekday,Count
Wednesday,44120,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44313,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44331,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44410,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44432,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Thursday,41140,EU,3.6,2str,41,,,,,,,,,,,,
Thursday,41312,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41344,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41421,EU,3.6,3str,414,,,,,,,,,,,,
Thursday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Thursday,42124,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42143,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42212,EU,3.6,3str,422,,,,,,,,,,,,
Thursday,42411,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42412,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42434,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42441,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42443,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,43144,EU,3.6,3str,431,,,,,,,,,,,,
Thursday,43231,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43243,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Thursday,43331,EU,3.6,3str,433,,,,,,,,,,,,
Thursday,43443,EU,3.6,3str,434,,,,,,,,,,,,
Thursday,44233,EU,3.6,3str,442,,,,,,,,,,,,
Thursday,44242,EU,3.6,3str,442,,,,,,,,,,,,
Thursday,44322,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44323,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44332,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44341,EU,3.6,3str,443,,,,,,,,,,,,
Friday,41113,EU,3.6,3str,411,,,,,,,,,,,,
Friday,41120,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41130,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41222,EU,3.6,3str,412,,,,,,,,,,,,
Friday,42141,EU,3.6,3str,421,,,,,,,,,,,,
Friday,42322,EU,3.6,3str,423,,,,,,,,,,,,
Friday,42334,EU,3.6,3str,423,,,,,,,,,,,,
Friday,43121,EU,3.6,3str,431,,,,,,,,,,,,
Friday,43233,EU,3.6,3str,432,,,,,,,,,,,,
Friday,43441,EU,3.6,3str,434,,,,,,,,,,,,
Friday,44120,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44131,EU,3.6,3str,441,,,,,,,,,,,,
Friday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41112,EU,3.6,3str,411,,,,,,,,,,,,
Saturday,41120,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41120,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41134,EU,3.6,3str,411,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41244,EU,3.6,3str,412,,,,,,,,,,,,
Saturday,41311,EU,3.6,3str,413,,,,,,,,,,,,
Saturday,41322,EU,3.6,3str,413,,,,,,,,,,,,
Saturday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41411,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,41420,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41424,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,41430,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41430,EU,3.6,2str,41,,,,,,,,,,,,
Saturday,41442,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,42110,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42110,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42132,EU,3.6,3str,421,,,,,,,,,,,,
Saturday,42224,EU,3.6,3str,422,,,,,,,,,,,,
Saturday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42313,EU,3.6,3str,423,,,,,,,,,,,,
Saturday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42410,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42420,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42420,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42430,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42430,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42440,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42440,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,42440,EU,3.6,2str,42,,,,,,,,,,,,
Saturday,43120,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43120,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43123,EU,3.6,3str,431,,,,,,,,,,,,
Saturday,43142,EU,3.6,3str,431,,,,,,,,,,,,
Saturday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43211,EU,3.6,3str,432,,,,,,,,,,,,
Saturday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43310,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43310,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43310,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43322,EU,3.6,3str,433,,,,,,,,,,,,
Saturday,43342,EU,3.6,3str,433,,,,,,,,,,,,
Saturday,43410,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43410,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43410,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43420,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43420,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,43430,EU,3.6,2str,43,,,,,,,,,,,,
Saturday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44124,EU,3.6,3str,441,,,,,,,,,,,,
Saturday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44210,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44210,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44210,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44210,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44212,EU,3.6,3str,442,,,,,,,,,,,,
Saturday,44220,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44322,EU,3.6,3str,443,,,,,,,,,,,,
Saturday,44330,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44330,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Saturday,44423,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,42330,EU,3.6,2str,42,,,,,,,,,,,,
Thursday,42440,EU,3.6,2str,42,,,,,,,,,,,,
Thursday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Thursday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Thursday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Thursday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Thursday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44100,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44220,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41340,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41240,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41340,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41240,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
